Country,Pop,X,Y,GHI,SolarRestriction,WindVel,TravelHours,NightLights,Elevation,Slope,LandCover,GridDistCurrent,GridDistPlan,SubstationDist,RoadDist,HydropowerDist,Hydropower,HydropowerFID,X_deg,Y_deg,RoadDistClassified,SubstationDistClassified,LandCoverClassified,ElevationClassified,SlopeClassified,GridClassification,GridPenalty,WindCF,PopStartCalibrated,IsUrban,PopFuture,ElecStart,NewConnections
Benin,16284.50879,252.9864197,732.6239013999998,2032,1.0,0.0,2.0,5,75.0,0.0,14.0,11.83124161,6.817249775,44.18132782,9.745566367999999,26.9429493,4223.689941,14215,2.27261567491186,6.610714046521803,4,1,5,5,5,4.59,1.2014704120581874,0.0,20413.35333506535,1,34129.973025163185,1,13716.619690097836
Benin,31227.99609,262.98641969999994,732.6239013999998,2023,1.0,5.0,1.0,0,36.0,2.344961405,14.0,17.99310493,7.9913311,34.87557983,18.52810287,19.13268089,4223.689941,14215,2.362447203323812,6.610714046521803,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.07743075958216943,39145.6768117357,1,65449.35913793696,0,65449.35913793696
Benin,52915.83984,272.98641969999994,732.6239013999998,2041,1.0,5.0,1.0,0,5.0,1.061856389,14.0,12.61098003,9.165412903,26.08874321,15.19305706,14.35953999,4223.689941,14215,2.4522787317357637,6.610714046521803,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.07743075958216943,66332.34994100475,1,110903.94003484432,0,110903.94003484432
Benin,39040.36719,282.98641969999994,732.6239013999998,2032,1.0,5.0,0.0,6,40.0,5.700046539,14.0,6.2148127560000015,6.2148127560000015,18.57253265,5.244736671,15.69501019,4223.689941,14215,2.542110260147716,6.610714046521803,4,1,5,5,5,4.59,1.2014704120581874,0.07743075958216943,48938.83015185269,1,81822.95801918171,1,32884.127867329014
Benin,53564.35938,292.98641969999994,732.6239013999998,2032,1.0,5.0,1.0,6,41.0,0.236285657,14.0,2.071446419,2.071446419,14.46566486,4.2641210560000005,22.05607033,4223.689941,14215,2.631941788559668,6.610714046521803,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.07743075958216943,67145.29792030416,1,112263.14310887767,1,45117.84518857351
Benin,47768.21094,302.98641969999994,732.6239013999998,2023,1.0,0.0,1.0,7,44.0,0.4483138920000001,14.0,8.21889019,7.392534256,16.54001045,11.22813034,30.44022369,4223.689941,14215,2.7217733169716203,6.610714046521803,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.0,59879.56902334995,1,100115.25504801577,1,40235.68602466582
Benin,11383.52148,172.9864197,742.6239013999998,2058,1.0,5.0,0.0,0,23.0,0.996795356,14.0,8.029396057000001,8.029396057000001,68.87471771,12.62384987,31.26266289,171.3970032,7700,1.5539634476162427,6.700533426365911,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.07743075958216943,14269.748579167675,1,23858.21310633255,1,9588.464527164875
Benin,13379.04004,182.9864197,742.6239013999998,2058,1.0,0.0,3.0,0,22.0,0.5977423789999999,14.0,1.309242725,1.309242725,74.90583038,3.082256317,40.87304306,171.3970032,7700,1.643794976028195,6.700533426365911,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.0,16771.21951558152,1,28040.531130308544,1,11269.311614727023
Benin,27835.15625,192.9864197,742.6239013999998,2049,1.0,0.0,2.0,0,59.0,2.279913902,14.0,11.24940777,1.984860182,81.7192688,5.719827652,35.71112442,3166.389893,14227,1.7336265044401469,6.700533426365911,4,1,5,5,5,4.59,1.2014704120581874,0.0,34892.60173551741,1,58338.45799187304,1,23445.856256355626
Benin,19066.17383,202.9864197,742.6239013999998,2049,1.0,0.0,1.0,0,15.0,0.871316195,14.0,13.53903675,7.331802368,89.13582611,14.31611919,26.5340023,3166.389893,14227,1.823458032852099,6.700533426365911,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.0,23900.293718320143,1,39959.940266087215,0,39959.940266087215
Benin,17503.80273,212.9864197,742.6239013999998,2041,1.0,0.0,3.0,0,36.0,0.105670638,14.0,10.27963448,2.474341631,81.90005493,20.5169754,18.24341774,3166.389893,14227,1.9132895612640513,6.700533426365911,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.0,21941.79231578599,1,36685.43661443027,0,36685.43661443027
Benin,16671.89453,222.9864197,742.6239013999998,2032,1.0,0.0,2.0,0,6.0,0.761957705,14.0,7.0202317239999985,2.383119106,71.91617584,16.84606171,12.7118578,3166.389893,14227,2.0031210896760037,6.700533426365911,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.0,20898.958525222624,1,34941.877456978276,1,14042.918931755652
Benin,15149.97363,232.9864197,742.6239013999998,2032,1.0,0.0,1.0,0,93.0,1.352994442,14.0,7.375695229,5.461700916,61.93748856,7.0608625410000005,13.79711342,3166.389893,14227,2.0929526180879554,6.700533426365911,4,1,5,5,5,4.59,1.2014704120581874,0.0,18991.16324073737,1,31752.151568818277,1,12760.988328080908
Benin,36886.83984,242.9864197,742.6239013999998,2032,1.0,0.0,3.0,0,106.0,1.272235274,14.0,13.54114628,4.287669659,51.96699905,2.789614916,20.47264862,3166.389893,14227,2.1827841464999076,6.700533426365911,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.0,46239.28819580227,1,77309.4764452342,1,31070.188249431936
Benin,15756.03711,252.9864197,742.6239013999998,2032,1.0,0.0,3.0,0,86.0,0.80471158,14.0,19.70724487,3.113587856,42.01053619,12.58786297,23.34609222,4223.689941,14215,2.27261567491186,6.700533426365911,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.0,19750.8906675982,1,33022.372887169535,0,33022.372887169535
Benin,20469.10938,262.98641969999994,742.6239013999998,2023,1.0,0.0,1.0,0,32.0,1.9043051,14.0,17.25222015,1.939506173,32.08117294,21.09459496,13.60797501,4223.689941,14215,2.362447203323812,6.700533426365911,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.0,25658.935594337963,1,42900.29008535508,0,42900.29008535508
Benin,27200.30664,272.98641969999994,742.6239013999998,2023,1.0,5.0,2.0,0,3.0,0.236285657,14.0,7.256290436,0.76542455,22.215271,17.81123352,5.031292915,4223.689941,14215,2.4522787317357637,6.700533426365911,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.07743075958216943,34096.78961918777,1,57007.905112215965,1,22911.115493028192
Benin,11072.31152,282.98641969999994,742.6239013999998,2023,1.0,5.0,0.0,0,78.0,0.149440676,14.0,1.033242464,0.408657104,12.56322861,9.814645767,8.090169907,4223.689941,14215,2.542110260147716,6.700533426365911,4,1,5,5,5,4.59,1.2014704120581874,0.07743075958216943,13879.633104590223,1,23205.96208194276,1,9326.328977352536
Benin,61425.76563,292.98641969999994,742.6239013999998,2023,1.0,0.0,0.0,0,81.0,0.845304728,14.0,3.526580811,1.5827387569999998,4.706503391,5.934895515,17.48106956,4223.689941,14215,2.631941788559668,6.700533426365911,4,3,5,5,5,4.7700000000000005,1.2364317534787195,0.0,76999.91899369431,1,128739.51256603398,1,51739.59357233967
Benin,26215.53125,302.98641969999994,742.6239013999998,2023,1.0,0.0,1.0,5,68.0,0.996795356,14.0,1.010241628,1.010241628,9.298797607000001,13.16975689,27.30796051,4223.689941,14215,2.7217733169716203,6.700533426365911,3,2,5,5,5,4.630000000000001,1.2087840330938528,0.0,32862.330032412196,1,54943.958454077656,1,22081.62842166546
Benin,23588.94336,312.98641969999994,742.6239013999998,2014,1.0,0.0,1.0,0,67.0,0.94506228,14.0,4.610717773,4.610717773,18.72923088,18.37018585,20.66768265,2767.149902,14233,2.8116048453835725,6.700533426365911,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.0,29569.785728152972,1,49439.010470078916,1,19869.224741925944
Benin,10129.50879,172.9864197,752.6239013999998,2049,1.0,0.0,1.0,0,123.0,0.6339986320000001,14.0,8.344672203,8.344672203,71.54927826,11.7838316,35.70467758,171.3970032,7700,1.5539634476162427,6.790336048766188,3,1,5,5,5,4.540000000000001,1.1926712266563528,0.0,12697.788106933758,1,21229.984043065095,1,8532.195936131337
Benin,30746.18555,182.9864197,752.6239013999998,2049,1.0,0.0,1.0,0,25.0,0.149440676,14.0,1.417125583,1.417125583,74.04872894,2.251389742,42.59858704,385.7940063,7832,1.643794976028195,6.790336048766188,5,1,5,5,5,4.640000000000001,1.2106516233894706,0.0,38541.705950814285,1,64439.5539945643,1,25897.84804375002
